prompt,completion
How to stop auto investing,"To stop auto investing (1) Tap on 'Locker' in the bottom right corner. (2) Go to 'Settings' by tapping on the icon on the top right corner. (3) Scroll down and find ‘AutoPay’ under Transactions and Withdrawals. (4) Disable AutoPay by tapping on the toggle. 
Roundups Detection cannot be stopped on Jar. But we provide users an option to pause their roundup detection and savings for a defined period of time. You can find the option of pausing your savings for 10 days to 1 month in the Settings section of the app."
Stop auto investing,"""To stop auto investing (1) Tap on 'Locker' in the bottom right corner. (2) Go to 'Settings' by tapping on the icon on the top right corner. (3) Scroll down and find ‘AutoPay’ under Transactions and Withdrawals. (4) Disable AutoPay by tapping on the toggle. 
Roundups Detection cannot be stopped on Jar. But we provide users an option to pause their roundup detection and savings for a defined period of time. You can find the option of pausing your savings for 10 days to 1 month in the Settings section of the app."""
What is digital gold,Digital gold is real gold that’s simply stored virtually to save space provide safety and buy or convert into physical gold conveniently with the click of a button.
Digital Gold,Digital gold is real gold that’s simply stored virtually to save space provide safety and buy or convert into physical gold conveniently with the click of a button.
Where is my gold saved,We store your gold in bank-grade lockers free of cost!
Gold location,We store your gold in bank-grade lockers free of cost!
When can I withdraw my savings,You can withdraw your money after 24 hours of investment. There is no minimum lock in period
Savings withdrawl time,You can withdraw your money after 24 hours of investment. There is no minimum lock in period
Why is gold better than mutual funds,Gold is historically safe stable and more likely to resist market fluctuations than any other financial instruments available for investment. It is a commodity that retains its value over long periods of time and trusted by millions of Indians everyday.
Is gold better than mutual funds,Gold is historically safe stable and more likely to resist market fluctuations than any other financial instruments available for investment. It is a commodity that retains its value over long periods of time and trusted by millions of Indians everyday.
Gold or Mutal funds,Gold is historically safe stable and more likely to resist market fluctuations than any other financial instruments available for investment. It is a commodity that retains its value over long periods of time and trusted by millions of Indians everyday.
How to convert savings to physical gold,You can convert your digital gold to physical gold anytime in the form of coins or jewelry with the help of our part
Digital gold to physical gold,You can convert your digital gold to physical gold anytime in the form of coins or jewelry with the help of our part
Digital to physical,You can convert your digital gold to physical gold anytime in the form of coins or jewelry with the help of our part
Is Jar App safe to use,"Jar app is 100% safe and secure to use for your Daily Savings & Investments in Gold. It is powered by SafeGold and all payments happen over secure banking networks.

All you need to do for every transaction is enter your PIN (which only you know) except the recurring daily mandates. UPI Autopay feature is a Safe & Secure process for recurring payments once you authenticate the app the round-offs will be auto-debited from the Bank Account linked with the UPI ID.

The services offered by the Jar app are offered by SafeGold as a provider. The gold you buy is backed by the VISTRA - Trustee of the Gold. That makes the investments through the Jar app quite safer. Your savings will remain yours forever. You have full control of your finances - pause re-start or withdraw funds or Gold easily with a click of a button."
Is Jar App safe,"Jar app is 100% safe and secure to use for your Daily Savings & Investments in Gold. It is powered by SafeGold and all payments happen over secure banking networks.

All you need to do for every transaction is enter your PIN (which only you know) except the recurring daily mandates. UPI Autopay feature is a Safe & Secure process for recurring payments once you authenticate the app the round-offs will be auto-debited from the Bank Account linked with the UPI ID.

The services offered by the Jar app are offered by SafeGold as a provider. The gold you buy is backed by the VISTRA - Trustee of the Gold. That makes the investments through the Jar app quite safer. Your savings will remain yours forever. You have full control of your finances - pause re-start or withdraw funds or Gold easily with a click of a button."
Can my data be breached,No. We ensure end-to-end encryption on our app and payment channels. No one not even us can access your data or leak it.
Data breach,We ensure end-to-end encryption on our app and payment channels. No one not even us can access your data or leak it.
Data security,We ensure end-to-end encryption on our app and payment channels. No one not even us can access your data or leak it.
Privacy,We ensure end-to-end encryption on our app and payment channels. No one not even us can access your data or leak it.
How to stop or pause investing,Under the Settings option on the app you can choose a period of time for which you would like us to stop automatically rounding up your daily expenses for you and investing them in digital gold. Pro Tip: pausing for more than a month might set your savings goals back so try not to pause auto-investments for too long. Whenever you wish to start auto rounds ups you may Unpause by changing your preference in Settings. We are always waiting for you to join us to help you save better!
Stop investing,Under the Settings option on the app you can choose a period of time for which you would like us to stop automatically rounding up your daily expenses for you and investing them in digital gold. Pro Tip: pausing for more than a month might set your savings goals back so try not to pause auto-investments for too long. Whenever you wish to start auto rounds ups you may Unpause by changing your preference in Settings. We are always waiting for you to join us to help you save better!
Pause investing,Under the Settings option on the app you can choose a period of time for which you would like us to stop automatically rounding up your daily expenses for you and investing them in digital gold. Pro Tip: pausing for more than a month might set your savings goals back so try not to pause auto-investments for too long. Whenever you wish to start auto rounds ups you may Unpause by changing your preference in Settings. We are always waiting for you to join us to help you save better!
Address,"No 752 18th main6th block5th cross Koramangala Bangalore -560095
Email - info@changejar.in"
Office address,"No 752 18th main6th block5th cross Koramangala Bangalore -560095
Email - info@changejar.in"
Postal address,"No 752 18th main6th block5th cross Koramangala Bangalore -560095
Email - info@changejar.in"
Blog,Visit the website www.myjar.app/blog to view our blogs
Problem,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Issue,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Raise a ticket,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Ticket,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Contact us,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Support,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Help,To raise a ticket please follow the link and fill in your details https://wiki.myjar.app/en/ticket/?id=2
Career,If you want to join us please follow the link https://jobs.lever.co/jar-app
Jobs,If you want to join us please follow the link https://jobs.lever.co/jar-app
Join Us,If you want to join us please follow the link https://jobs.lever.co/jar-app
